46;Cooling;Central
46;Heating;Radiant, Gas
46;Pets;No Pets
46;Parking;Garage, None, Covered
46;Laundry;Contact manager
46;Deposit & fees;Contact manager
46;Bedrooms;1
46;Bathrooms;1
46;Basement;Partially finished
46;Flooring;Hardwood
46;Heating features;Radiant, Gas
46;Cooling features;Central
46;Appliances included;Dishwasher, Microwave, Range / Oven, Refrigerator
46;Furnished;Yes
46;Total interior livable area;9,576 sqft
46;Fireplace;Yes
46;Total spaces;2
46;Parking features;Garage, None, Covered
46;Garage spaces;2
46;Stories;1
46;Exterior features;Stone, Brick
46;Lot size;6,969 sqft
46;Parcel number;38170010076105
47;Date available;Tue Jun 1 2021
47;Type;Apartment
47;Cooling;None
47;Heating;Baseboard, Gas
47;Pets;Contact manager
47;Parking;Off-street
47;Laundry;In Unit
47;Deposit & fees;$2,000
47;Bedrooms;4
47;Bathrooms;1
47;Flooring;Hardwood
47;Heating features;Baseboard, Gas
47;Cooling features;None
47;Appliances included;Dryer, Washer
47;Laundry features;In Unit
47;Furnished;Yes
47;Total interior livable area;1,000 sqft
47;Total spaces;0
47;Parking features;Off-street
47;Has garage;No
47;Garage spaces;0
48;Type;Apartment
48;Cooling;None
48;Heating;Contact manager
48;Pets;No Pets
48;Parking;Off-street
48;Laundry;In Unit
48;Deposit & fees;$925
48;Bedrooms;2
48;Bathrooms;1
48;Cooling features;None
48;Appliances included;Dryer, Washer
48;Laundry features;In Unit
48;Total interior livable area;800 sqft
48;Total spaces;0
48;Parking features;Off-street
48;Has garage;No
48;Garage spaces;0
49;Date available;Available Now
49;Type;Apartment
49;Cooling;None
49;Heating;Gas
49;Pets;Cats, Small Dogs
49;Parking;None
49;Laundry;In Unit
49;Deposit & fees;$975
49;Bedrooms;3
49;Bathrooms;1
49;Flooring;Hardwood
49;Heating features;Gas
49;Cooling features;None
49;Appliances included;Dryer, Washer
49;Laundry features;In Unit
49;Total interior livable area;1,000 sqft
49;Total spaces;0
49;Parking features;None
49;Has garage;No
49;Garage spaces;0
50;Date available;Fri Jan 1 2021
50;Type;Apartment
50;Cooling;Other
50;Heating;Forced air
50;Pets;Cats, Small Dogs
50;Parking;Garage - Detached, Off-street
50;Laundry;In Unit
50;Deposit & fees;Contact manager
50;Bedrooms;2
50;Bathrooms;2
50;Heating features;Forced air
50;Cooling features;Other
50;Appliances included;Dryer, Washer
50;Laundry features;In Unit
50;Total interior livable area;1,320 sqft
50;Total spaces;0
50;Parking features;Garage - Detached, Off-street
50;Has garage;No
50;Garage spaces;0
50;Private pool;Yes
51;Date available;Available Now
51;Type;Apartment
51;Cooling;None
51;Heating;Contact manager
51;Pets;No Pets
51;Parking;None
51;Laundry;Hookups
51;Deposit & fees;$900
51;Bedrooms;1
51;Bathrooms;1
51;Flooring;Hardwood
51;Cooling features;None
51;Laundry features;Hookups
51;Total interior livable area;70 sqft
51;Total spaces;0
51;Parking features;None
51;Has garage;No
51;Garage spaces;0
52;Date available;Available Now
52;Type;Single Family
52;Cooling;None
52;Heating;Other, Gas
52;Pets;Cats, Small Dogs
52;Parking;Off-street
52;Laundry;In Unit
52;Deposit & fees;$1,550
52;Bedrooms;3
52;Bathrooms;2
52;Basement;Unfinished
52;Flooring;Hardwood
52;Heating features;Other, Gas
52;Cooling features;None
52;Appliances included;Dryer, Washer
52;Laundry features;In Unit
52;Total interior livable area;1,400 sqft
52;Total spaces;0
52;Parking features;Off-street
52;Has garage;No
52;Garage spaces;0
52;Stories;2
52;Exterior features;Other
52;Lot size;3,001 sqft
52;Parcel number;3817008072128
53;Type;Multiple Occupancy
53;Cooling;None
53;Heating;Contact manager
53;Pets;Contact manager
53;Parking;None
53;Laundry;Contact manager
53;Deposit & fees;$1,300
53;Bedrooms;3
53;Bathrooms;1
53;Cooling features;None
53;Total spaces;0
53;Parking features;None
53;Has garage;No
53;Garage spaces;0
54;Type;Apartment
54;Cooling;None
54;Heating;Contact manager
54;Pets;No Pets
54;Parking;None
54;Laundry;Contact manager
54;Deposit & fees;$1,000
55;Date available;Tue Dec 1 2020
55;Type;Apartment
55;Cooling;None
55;Heating;Contact manager
55;Pets;No Pets
55;Parking;None
55;Laundry;Hookups
55;Deposit & fees;$1,300
55;Bedrooms;3
55;Bathrooms;1
55;Cooling features;None
55;Appliances included;Dryer, Washer
55;Laundry features;Hookups
55;Total interior livable area;1,400 sqft
55;Total spaces;0
55;Parking features;None
55;Has garage;No
55;Garage spaces;0
56;Type;Apartment
56;Cooling;Other
56;Heating;Forced air, Gas
56;Pets;Cats
56;Parking;Garage - Detached, Off-street, Covered
56;Laundry;In Unit
56;Deposit & fees;$7,000
56;Bedrooms;4
56;Bathrooms;2
56;Basement;Finished
56;Flooring;Hardwood
56;Heating features;Forced air, Gas
56;Cooling features;Other
56;Appliances included;Dryer, Washer
56;Laundry features;In Unit
56;Furnished;Yes
56;Total interior livable area;3,600 sqft
56;Fireplace;Yes
56;Total spaces;4
56;Parking features;Garage - Detached, Off-street, Covered
56;Garage spaces;4
56;Private pool;Yes
56;Exterior features;Brick
56;View description;City
56;Lot size;5,227 sqft
56;Parcel number;3817001006045
57;Date available;Tue Dec 1 2020
57;Type;Apartment
57;Cooling;None
57;Heating;Contact manager
57;Pets;No Pets
57;Parking;None
57;Laundry;Contact manager
57;Deposit & fees;$850
57;Bedrooms;1
57;Bathrooms;1
57;Flooring;Hardwood
57;Cooling features;None
57;Appliances included;Refrigerator
57;Total spaces;0
57;Parking features;None
57;Has garage;No
57;Garage spaces;0
58;Type;Apartment
58;Cooling;None
58;Heating;Contact manager
58;Pets;Contact manager
58;Parking;None
58;Laundry;Contact manager
58;Deposit & fees;$750
58;Bedrooms;0
58;Bathrooms;1
58;Cooling features;None
58;Total interior livable area;500 sqft
58;Total spaces;0
58;Parking features;None
58;Has garage;No
58;Garage spaces;0
59;Type;Apartment
59;Cooling;Other
59;Heating;Radiant, Gas
59;Pets;No Pets
59;Parking;None
59;Laundry;Contact manager
59;Deposit & fees;Contact manager
59;Bedrooms;2
59;Bathrooms;1
59;Flooring;Tile, Carpet, Hardwood
59;Heating features;Radiant, Gas
59;Cooling features;Other
59;Appliances included;Range / Oven, Refrigerator
59;Total interior livable area;800 sqft
59;Total spaces;0
59;Parking features;None
59;Has garage;No
59;Garage spaces;0
60;Type;Apartment
60;Cooling;None
60;Heating;Contact manager
60;Pets;Contact manager
60;Parking;None
60;Laundry;Contact manager
60;Deposit & fees;$1,200
60;Bedrooms;2
60;Bathrooms;1
60;Cooling features;None
60;Total spaces;0
60;Parking features;None
60;Has garage;No
60;Garage spaces;0
61;Date available;Available Now
61;Type;Apartment
61;Cooling;None
61;Heating;Contact manager
61;Pets;No Pets
61;Parking;None
61;Laundry;Contact manager
61;Deposit & fees;$1,000
61;Bedrooms;2
61;Bathrooms;1
61;Flooring;Hardwood
61;Cooling features;None
61;Total interior livable area;1,000 sqft
61;Total spaces;0
61;Parking features;None
61;Has garage;No
61;Garage spaces;0
62;Type;Condo
62;Year built;1890
62;Heating;Baseboard, Gas
62;Cooling;None
62;Parking;None
63;Date available;Available Now
63;Type;Apartment
63;Cooling;None
63;Heating;Contact manager
63;Pets;Cats, Small Dogs, Dogs
63;Parking;Off-street
63;Laundry;Contact manager
63;Deposit & fees;$1,200
63;Bedrooms;2
63;Bathrooms;1
63;Flooring;Hardwood
63;Cooling features;None
63;Appliances included;Dryer, Washer
63;Total interior livable area;1,100 sqft
63;Total spaces;0
63;Parking features;Off-street
63;Has garage;No
63;Garage spaces;0
64;Type;Multiple Occupancy
64;Cooling;Central
64;Heating;Gas
64;Pets;Contact manager
64;Parking;None, Covered
64;Laundry;Contact manager
64;Deposit & fees;Contact manager
64;Bedrooms;2
64;Bathrooms;2
64;Flooring;Tile, Carpet, Hardwood
64;Heating features;Gas
64;Cooling features;Central
64;Appliances included;Dishwasher, Garbage disposal, Microwave, Range / Oven
64;Total interior livable area;1,361 sqft
64;Total spaces;1
64;Parking features;None, Covered
64;Garage spaces;1
65;Type;Multiple Occupancy
65;Cooling;None
65;Heating;Gas
65;Pets;Cats, Small Dogs
65;Parking;None
65;Laundry;Contact manager
65;Deposit & fees;Contact manager
65;Bedrooms;3
65;Bathrooms;1
65;Flooring;Carpet, Hardwood, Laminate
65;Heating features;Gas
65;Cooling features;None
65;Appliances included;Range / Oven, Refrigerator
65;Total interior livable area;1,600 sqft
65;Total spaces;0
65;Parking features;None
65;Has garage;No
65;Garage spaces;0
66;Type;Apartment
66;Cooling;None
66;Heating;Contact manager
66;Pets;Cats, Small Dogs
66;Parking;None
66;Laundry;Contact manager
66;Deposit & fees;$1,650
66;Bedrooms;3
66;Flooring;Hardwood
66;Cooling features;None
66;Total spaces;0
66;Parking features;None
66;Has garage;No
66;Garage spaces;0
67;Type;Apartment
67;Cooling;Central
67;Heating;Forced air, Gas
67;Pets;Cats, Small Dogs
67;Parking;Garage - Detached
67;Laundry;Contact manager
67;Deposit & fees;Contact manager
67;Bedrooms;2
67;Bathrooms;2
67;Basement;None
67;Flooring;Carpet, Hardwood
67;Heating features;Forced air, Gas
67;Cooling features;Central
67;Appliances included;Dishwasher, Microwave, Range / Oven, Refrigerator
67;Total interior livable area;1,547 sqft
67;Fireplace;Yes
67;Total spaces;0
67;Parking features;Garage - Detached
67;Has garage;No
67;Garage spaces;0
67;Stories;1
67;Private pool;Yes
67;View description;Water
67;On waterfront;Yes
